main,base,price
DGB,BUSD,0.02859000
BTC,UAH,316500.00000000
USDT,UAH,27.62800000
COMP,BTC,0.01600000
COMP,BNB,8.17900000
COMP,BUSD,182.60000000
COMP,USDT,183.04000000
BTC,BIDR,170101631.00
ETH,BIDR,5779862.00
BNB,BIDR,331659.00
BUSD,BIDR,14822.00
USDT,BIDR,14836.00
BKRW,USDT,0.00000000
BKRW,BUSD,0.00000000
SC,USDT,0.00408000
ZEN,USDT,8.87800000
SXP,BTC,0.00024996
SXP,BNB,0.12811000
SXP,BUSD,2.86980000
SNX,BTC,0.00053700
SNX,BNB,0.27550000
SNX,BUSD,6.17000000
SNX,USDT,6.15900000
ETHUP,USDT,21.41000000
ETHDOWN,USDT,2.61000000
ADAUP,USDT,6.65000000
ADADOWN,USDT,8.43600000
LINKUP,USDT,21.39000000
LINKDOWN,USDT,0.39600000
VTHO,BNB,0.00005622
VTHO,BUSD,0.00124600
VTHO,USDT,0.00124700
DCR,BUSD,17.91400000
DGB,USDT,0.02878000
GBP,USDT,1.31270000
STORJ,BUSD,0.45000000
SXP,USDT,2.86700000
IRIS,BNB,0.00539300
IRIS,BTC,0.00001061
IRIS,BUSD,0.12218000
MKR,BNB,28.66400000
MKR,BTC,0.05568400
MKR,USDT,640.46000000
MKR,BUSD,640.77000000
DAI,BNB,0.00000000
DAI,BTC,0.00000000
DAI,USDT,0.00000000
DAI,BUSD,0.00000000
RUNE,BNB,0.04003000
RUNE,BTC,0.00007724
RUNE,BUSD,0.87790000
MANA,BUSD,0.08641000
DOGE,BUSD,0.00329900
LEND,BUSD,0.83140000
ZRX,BUSD,0.66990000
DCR,USDT,17.99000000
STORJ,USDT,0.45000000
XRP,BKRW,328.11000000
ADA,BKRW,137.78000000
BTC,AUD,16022.49000000
ETH,AUD,541.55000000
AUD,BUSD,0.71542000
FIO,BNB,0.01226000
FIO,BTC,0.00002395
FIO,BUSD,0.27600000
BNBUP,USDT,9.28800000
BNBDOWN,USDT,10.19800000
XTZUP,USDT,9.32800000
XTZDOWN,USDT,5.20100000
AVA,BNB,0.06436000
AVA,BTC,0.00012490
AVA,BUSD,1.42060000
USDT,BKRW,1181.13000000
BUSD,BKRW,1180.63000000
IOTA,BUSD,0.36200000
MANA,USDT,0.08610000
XRP,AUD,0.38797000
BNB,AUD,31.28500000
AUD,USDT,0.71473000
BAL,BNB,1.11000000
BAL,BTC,0.00216410
BAL,BUSD,25.50000000
YFI,BNB,685.11000000
YFI,BTC,1.33792000
YFI,BUSD,15390.00000000
YFI,USDT,15387.32000000
BLZ,BUSD,0.12641000
KMD,BUSD,0.83150000
BAL,USDT,24.85600000
BLZ,USDT,0.12755000
IRIS,USDT,0.12169000
KMD,USDT,0.83080000
BTC,DAI,11340.55000000
ETH,DAI,382.70000000
BNB,DAI,22.11100000
USDT,DAI,0.98980000
BUSD,DAI,0.98760000
JST,BNB,0.00264100
JST,BTC,0.00000514
JST,BUSD,0.05915000
JST,USDT,0.05897000
SRM,BNB,0.09143600
SRM,BTC,0.00017881
SRM,BUSD,2.04690000
SRM,USDT,2.04630000
ANT,BNB,0.40910000
ANT,BTC,0.00079580
ANT,BUSD,9.12730000
ANT,USDT,9.16000000
CRV,BNB,0.16620000
CRV,BTC,0.00032430
CRV,BUSD,3.72500000
CRV,USDT,3.71900000
SAND,BNB,0.00253000
SAND,BTC,0.00000492
SAND,USDT,0.05632600
SAND,BUSD,0.05631300
OCEAN,BNB,0.02404000
OCEAN,BTC,0.00004733
OCEAN,BUSD,0.53940000
OCEAN,USDT,0.54070000
NMR,BNB,1.90850000
NMR,BTC,0.00371300
NMR,BUSD,42.77400000
NMR,USDT,42.51600000
DOT,BNB,0.28092000
DOT,BTC,0.00054753
DOT,BUSD,6.28090000
DOT,USDT,6.27530000
LUNA,BNB,0.02173000
